Ticker,Name,RTG_SP_LT_LC_ISSUER_CREDIT,IsJunk,intexp,netinc,eps,ncfdebt,ncf,assets,cashneq,receivables,payables,liabilities,equity,debt,ebit,ebitda,marketcap,ev,roe,roa,fcf,roic,gp,opinc,grossmargin,netmargin,evebitda,evebit,de,divyield,fcfps
LII,Lennox International Inc,BBB,0,47500000,408700000,10.49,107800000,-11400000,2034900000.0,37300000.0,477800000.0,372400000.0,2205100000.0,-170200000.0,1354900000.0,555300000,626400000,9400548353.0,10980148353.0,-1.88,0.188,291800000,0.227,1079800000,641200000,0.284,0.107,17.529,20.0,-12.956,0.012,7.482
KO,Coca-Cola Co/The,A+,0,946000000,8920000000,2.09,-1841000000,-2581000000,86381000000.0,7947000000.0,3971000000.0,11312000000.0,65283000000.0,18981000000.0,42763000000.0,11667000000,13032000000,237146597717.0,270090597717.0,0.485,0.101,9395000000,0.166,22647000000,10086000000,0.608,0.239,20.725,23.0,3.439,0.029,2.197
DIS,Walt Disney Co/The,A- *-,0,1491000000,-2864000000,-1.59,11233000000,12499000000,201549000000.0,17914000000.0,12708000000.0,16801000000.0,113286000000.0,83583000000.0,58628000000.0,-674000000,4671000000,221455615381.0,262761615381.0,-0.033,-0.014,3596000000,-0.008,21508000000,-1941000000,0.329,-0.044,56.254,-390.0,1.355,0.007,1.989
PSX,Phillips 66,BBB+,0,458000000,3076000000,6.8,476000000,-1405000000,58720000000.0,1614000000.0,8510000000.0,8575000000.0,31551000000.0,24910000000.0,11763000000.0,4335000000,5676000000,49505877542.0,59162877542.0,0.125,0.053,935000000,0.083,8547000000,4664000000,0.078,0.028,10.423,14.0,1.267,0.031,2.071
XOM,Exxon Mobil Corp,AA,0,830000000,14340000000,3.36,8662000000,47000000,362597000000.0,3089000000.0,26966000000.0,41831000000.0,163659000000.0,191650000000.0,46920000000.0,20452000000,39450000000,295246581285.0,337041581285.0,0.075,0.04,5355000000,0.061,90612000000,20886000000,0.342,0.054,8.544,16.0,0.854,0.049,1.266
GE,General Electric Co,BBB+,0,4227000000,-4979000000,-0.62,-14102000000,1529000000,266048000000.0,36394000000.0,27047000000.0,15926000000.0,236187000000.0,28316000000.0,90882000000.0,-26000000,5569000000,97466406840.0,166070406840.0,-0.171,-0.019,6395000000,0.0,25186000000,5999000000,0.265,-0.057,29.821,-6387.0,8.341,0.04,0.732
HPQ,HP Inc,BBB,0,1354000000,3152000000,2.08,-1409000000,-629000000,33467000000.0,4537000000.0,6031000000.0,14793000000.0,34660000000.0,-1193000000.0,5137000000.0,3877000000,4621000000,25740839909.0,25879839909.0,-2.232,0.097,3983000000,1.349,11170000000,3877000000,0.19,0.054,5.6,7.0,-29.053,0.037,2.629
HD,Home Depot Inc/The,A,0,1128000000,11242000000,10.29,1985000000,236000000,51236000000.0,2133000000.0,2106000000.0,7787000000.0,54352000000.0,-3116000000.0,37377000000.0,15843000000,18139000000,248818555662.0,281676555662.0,-5.995,0.217,11082000000,0.25,37572000000,15843000000,0.341,0.102,15.529,18.0,-17.443,0.024,10.139
IBM,International Business Machines Corp,A,0,1344000000,9431000000,10.63,16284000000,-3290000000,152186000000.0,8313000000.0,32507000000.0,4896000000.0,131202000000.0,20841000000.0,68158000000.0,11506000000,17565000000,118710844334.0,179979844334.0,0.517,0.064,12400000000,0.115,36488000000,11511000000,0.473,0.122,10.247,16.0,6.295,0.048,13.976
JNJ,Johnson & Johnson,AAA,0,318000000,15119000000,5.72,-2881000000,-802000000,157728000000.0,17305000000.0,14481000000.0,8544000000.0,98257000000.0,59471000000.0,27696000000.0,17646000000,24655000000,383595402154.0,396564402154.0,0.255,0.098,19918000000,0.327,54503000000,19814000000,0.664,0.184,16.085,22.0,1.652,0.026,7.53
MCD,McDonald's Corp,BBB+,0,1121900000,6025400000,7.95,3236300000,32500000,47510800000.0,898500000.0,2224200000.0,988200000.0,55721100000.0,-8210300000.0,47556000000.0,9140000000,10757900000,148818772151.0,193076672151.0,-0.799,0.13,5879600000,0.108,11115300000,9069800000,0.527,0.286,17.947,21.0,-6.787,0.024,7.756
MRK,Merck & Co Inc,AA- *-,0,0,9843000000,3.84,1248000000,1967000000,84397000000.0,9676000000.0,6778000000.0,3738000000.0,58396000000.0,25907000000.0,26346000000.0,11530000000,15182000000,231557257715.0,249776257715.0,0.365,0.118,9967000000,0.233,32728000000,11603000000,0.699,0.21,16.452,22.0,2.254,0.025,3.915
MMM,3M Co,A+,0,0,4570000000,7.92,3249000000,-500000000,44659000000.0,2353000000.0,4791000000.0,2228000000.0,34533000000.0,10063000000.0,21167000000.0,5700000000,7293000000,101450436555.0,113983436555.0,0.451,0.111,5494000000,0.171,15000000000,6174000000,0.467,0.142,15.629,20.0,3.432,0.033,9.522
BAC,Bank of America Corp,A-,0,0,27430000000,2.77,-16249000000,-15844000000,2434079000000.0,443264000000.0,55937000000.0,0.0,2169269000000.0,264810000000.0,430169000000.0,32754000000,34483000000,316807682663.0,356715682663.0,0.097,0.011,61777000000,0.014,91244000000,36344000000,1.0,0.285,10.345,11.0,8.192,0.019,6.579
PFE,Pfizer Inc,AA- *-,0,0,16273000000,2.92,8764000000,125000000,167489000000.0,1305000000.0,8724000000.0,4220000000.0,104042000000.0,63143000000.0,52150000000.0,17657000000,23667000000,216826914222.0,266702914222.0,0.264,0.1,9994000000,0.21,41531000000,9596000000,0.803,0.314,11.269,15.0,1.648,0.037,1.795
PG,Procter & Gamble Co/The,AA-,0,465000000,13027000000,5.13,4849000000,11942000000,120700000000.0,16181000000.0,4178000000.0,12071000000.0,73822000000.0,46878000000.0,34720000000.0,16223000000,19236000000,296012587236.0,316630587236.0,0.281,0.112,14330000000,0.393,35700000000,15706000000,0.503,0.184,16.46,20.0,1.575,0.025,5.788
T,AT&T Inc,BBB,0,8422000000,13903000000,1.9,-16771000000,6895000000,551669000000.0,12130000000.0,22636000000.0,45956000000.0,349735000000.0,184221000000.0,184951000000.0,25818000000,54035000000,285479400000.0,466355400000.0,0.075,0.025,29233000000,0.069,97052000000,27955000000,0.536,0.077,8.631,18.0,1.898,0.052,4.002
TRV,Travelers Cos Inc/The,A,0,344000000,2622000000,10.01,-8000000,121000000,110122000000.0,494000000.0,20743000000.0,4982000000.0,84179000000.0,25943000000.0,6558000000.0,3482000000,3482000000,35348543988.0,41398543988.0,0.104,0.024,5205000000,0.031,12448000000,3482000000,0.394,0.083,11.889,12.0,3.245,0.024,20.019
SBRA,Sabra Health Care REIT Inc,BB+,1,126610000,68996000,0.37,-859757000,-10861000,6069299000.0,49143000.0,150443000.0,108792000.0,2580839000.0,3488460000.0,2402101000.0,199008000,380557000,4133491867.0,6696940867.0,0.021,0.011,295888000,0.023,661736000,217772000,1.0,0.104,17.598,34.0,0.74,0.084,1.581
TKR,Timken Co/The,BBB-,0,72100000,362100000,4.78,37000000,83100000,4859900000.0,216200000.0,674300000.0,301700000.0,2905100000.0,1868200000.0,1829700000.0,531900000,692500000,4241505083.0,5810005083.0,0.208,0.077,415800000,0.136,1141800000,516400000,0.301,0.096,8.39,11.0,1.555,0.02,5.52
RTX,Raytheon Technologies Corp,A-,0,1611000000,5537000000,6.48,-1815000000,1208000000,139615000000.0,4937000000.0,8743000000.0,7816000000.0,95289000000.0,41774000000.0,44345000000.0,9443000000,13226000000,129283156454.0,168651156454.0,0.136,0.04,6627000000,0.134,19981000000,8445000000,0.259,0.072,12.751,18.0,2.281,0.02,7.753
WMT,Walmart Inc,AA,0,2599000000,14881000000,5.22,-1071000000,1759000000,236495000000.0,9465000000.0,6284000000.0,46973000000.0,154943000000.0,74669000000.0,72433000000.0,22395000000,33382000000,324828158423.0,392170158423.0,0.209,0.063,14871000000,0.118,129359000000,20568000000,0.247,0.028,11.748,18.0,2.075,0.019,5.218
CSCO,Cisco Systems Inc,AA-,0,585000000,11214000000,2.65,-10190000000,40000000,94853000000.0,11809000000.0,16237000000.0,2218000000.0,56933000000.0,37920000000.0,14583000000.0,14555000000,16363000000,195914543773.0,201632543773.0,0.312,0.122,14835000000,0.375,31683000000,13620000000,0.643,0.227,12.322,14.0,1.501,0.031,3.502
INTC,Intel Corp,A+,0,-484000000,21048000000,4.77,765000000,1175000000,136524000000.0,4194000000.0,7659000000.0,4128000000.0,59020000000.0,77504000000.0,29001000000.0,23574000000,34400000000,261348000000.0,286320000000.0,0.28,0.159,16932000000,0.235,42140000000,22035000000,0.586,0.292,8.323,12.0,0.762,0.021,3.833
MSFT,Microsoft Corp,AAA,0,0,44281000000,5.82,-8935000000,2220000000,301311000000.0,136527000000.0,32011000000.0,12530000000.0,183007000000.0,118304000000.0,70998000000.0,53036000000,65832000000,1543305924670.0,1479537924670.0,0.395,0.154,45234000000,0.467,96937000000,52959000000,0.678,0.31,22.474,28.0,1.547,0.01,5.944
C,Citigroup Inc,BBB+,0,0,19401000000,8.08,9379000000,5814000000,1951158000000.0,193919000000.0,39857000000.0,48601000000.0,1757212000000.0,193242000000.0,460148000000.0,23831000000,27736000000,174415363867.0,426487363867.0,0.099,0.01,-17914000000,0.011,65903000000,23901000000,0.887,0.261,15.377,18.0,9.093,0.024,-7.965
AIG,American International Group Inc,BBB+ *-,0,1417000000,3348000000,3.79,679000000,-8000000,525064000000.0,2856000000.0,10274000000.0,0.0,457637000000.0,65675000000.0,35350000000.0,5931000000,10937000000,44654615936.0,76555615936.0,0.052,0.006,-928000000,0.011,20512000000,6736000000,0.412,0.067,7.0,13.0,6.968,0.025,-1.058
HON,Honeywell International Inc,A,0,357000000,6143000000,8.52,-177000000,-220000000,58679000000.0,9067000000.0,7493000000.0,5730000000.0,39973000000.0,18494000000.0,16002000000.0,7829000000,8917000000,126472429323.0,134175429323.0,0.335,0.105,6101000000,0.285,12370000000,6851000000,0.337,0.167,15.047,17.0,2.161,0.019,8.538
ATO,Atmos Energy Corp,A,0,84474000,601443000,4.89,526797000,-3742000,15359032000.0,20808000.0,230595000.0,235775000.0,8567829000.0,6791203000.0,4531944000.0,831270000,1261098000,11791502729.0,16114936729.0,0.094,0.041,-897677000,0.047,2162283000,824099000,0.766,0.213,12.778,19.0,1.262,0.024,-7.311
MO,Altria Group Inc,BBB,0,1280000000,-1293000000,-0.7,2321000000,727000000,49271000000.0,2117000000.0,152000000.0,325000000.0,42914000000.0,6222000000.0,28042000000.0,2051000000,2277000000,93238194114.0,119537194114.0,-0.114,-0.024,7591000000,0.037,12711000000,10326000000,0.506,-0.051,52.498,58.0,6.897,0.066,4.063
BKH,Black Hills Corp,BBB+,0,145847000,199310000,3.29,358137000,-10487000,7558457000.0,13658000.0,255805000.0,193523000.0,5094388000.0,2362123000.0,3495339000.0,374737000,583857000,4826602736.0,8159705736.0,0.086,0.028,-312863000,0.044,615162000,406042000,0.355,0.115,13.976,22.0,2.157,0.026,-5.157
LEA,Lear Corp,BBB-,0,92000000,753600000,12.8,354800000,-9400000,12680700000.0,1487700000.0,2982600000.0,2821700000.0,8179600000.0,4349700000.0,2327000000.0,991700000,1501600000,8296481530.0,9328981530.0,0.177,0.06,680400000,0.139,1737500000,1070200000,0.088,0.038,6.213,9.0,1.88,0.022,11.028
IP,International Paper Co,BBB,0,491000000,1225000000,3.1,-1057000000,-78000000,33471000000.0,511000000.0,3280000000.0,2423000000.0,25753000000.0,7713000000.0,16374000000.0,2350000000,3656000000,18056963582.0,34313963582.0,0.163,0.036,2352000000,0.057,7108000000,2336000000,0.318,0.055,9.386,15.0,3.339,0.044,5.998
CBT,Cabot Corp,BBB-,0,53000000,-238000000,-4.21,15000000,-18000000,2781000000.0,151000000.0,418000000.0,488000000.0,1967000000.0,691000000.0,1115000000.0,6000000,164000000,2034309394.0,3056309394.0,-0.266,-0.079,177000000,0.002,500000000,150000000,0.191,-0.091,18.636,509.0,2.847,0.039,3.127
CSL,Carlisle Cos Inc,BBB,0,66100000,472800000,8.28,0,-452400000,5496000000.0,351200000.0,682500000.0,327300000.0,2853200000.0,2642800000.0,1591600000.0,660500000,865900000,9172011080.0,10104111080.0,0.181,0.087,614200000,0.208,1371700000,654200000,0.285,0.098,11.669,15.0,1.08,0.011,10.792
ABT,Abbott Laboratories,A,0,670000000,3687000000,2.07,-1599000000,16000000,67887000000.0,3860000000.0,5425000000.0,3252000000.0,36586000000.0,31301000000.0,18139000000.0,4747000000,7761000000,153608062536.0,168614062536.0,0.117,0.054,4498000000,0.146,18673000000,4532000000,0.585,0.116,21.726,36.0,1.169,0.015,2.544
AFL,Aflac Inc,A-,0,228000000,3304000000,4.45,615000000,559000000,152768000000.0,4896000000.0,828000000.0,1876000000.0,123809000000.0,28959000000.0,6569000000.0,4673000000,4673000000,38829552729.0,40846552729.0,0.117,0.022,5455000000,0.03,10365000000,4673000000,0.465,0.148,8.741,9.0,4.275,0.02,7.348
APD,Air Products and Chemicals Inc,A,0,109300000,1886700000,8.53,4434300000,3004300000,25168500000.0,5253000000.0,1757700000.0,1833200000.0,12725400000.0,12079800000.0,7907800000.0,2474400000,3659400000,65795598835.0,70071898835.0,0.162,0.085,755700000,0.117,2998200000,2237600000,0.339,0.213,19.148,28.0,1.053,0.017,3.416
VC,Visteon Corp,BB-,1,13000000,70000000,2.49,-19000000,2000000,2271000000.0,469000000.0,514000000.0,511000000.0,1676000000.0,480000000.0,554000000.0,107000000,207000000,2421518444.0,2530518444.0,0.146,0.032,41000000,0.075,324000000,99000000,0.11,0.024,12.225,24.0,3.492,0.0,1.466
CHTR,Charter Communications Inc,BB+,1,3797000000,1668000000,7.6,6273000000,2784000000,148188000000.0,3549000000.0,2227000000.0,8885000000.0,109377000000.0,31445000000.0,79078000000.0,5904000000,15830000000,104185540125.0,179688540125.0,0.049,0.011,4608000000,0.034,45764000000,6511000000,1.0,0.036,11.351,30.0,3.478,0.0,20.993
CBB,Cincinnati Bell Inc,B-,1,139600000,-66600000,-1.53,-28400000,-3800000,2653800000.0,11600000.0,307700000.0,284600000.0,2793800000.0,-140000000.0,1955700000.0,62400000,367300000,527904729.0,2481004729.0,0.639,-0.029,35300000,0.016,752100000,73100000,0.489,-0.05,6.755,40.0,-19.956,0.0,0.7
HES,Hess Corp,BBB-,0,380000000,-408000000,-1.37,735000000,-1149000000,21782000000.0,1545000000.0,1170000000.0,411000000.0,12076000000.0,8732000000.0,7932000000.0,433000000,2555000000,20357423560.0,25908423560.0,-0.045,-0.019,-1187000000,0.018,3353000000,601000000,0.515,-0.063,10.14,60.0,1.383,0.015,-3.941
CMC,Commercial Metals Co,BB+,1,61837000,279503000,2.35,-187330000,351235000,4081728000.0,542103000.0,880728000.0,266102000.0,2192315000.0,1889201000.0,1083685000.0,434522000,600280000,2484964186.0,3193925186.0,0.156,0.071,615429000,0.108,944798000,432615000,0.173,0.051,5.321,7.0,1.16,0.023,5.169
DBD,Diebold Nixdorf Inc,B-,1,202900000,-341300000,-4.45,-115500000,-87600000,3790600000.0,280900000.0,619300000.0,471500000.0,4296900000.0,-530300000.0,2141200000.0,-21700000,204400000,810940553.0,2881940553.0,0.848,-0.085,92900000,-0.007,1067100000,-26600000,0.242,-0.077,14.1,-133.0,-8.103,0.0,1.211
ADM,Archer-Daniels-Midland Co,A,0,402000000,1379000000,2.45,301000000,-853000000,43997000000.0,852000000.0,2267000000.0,8768000000.0,24772000000.0,19225000000.0,8881000000.0,1990000000,2983000000,25802410700.0,33758410700.0,0.073,0.032,-6280000000,0.061,4147000000,1351000000,0.064,0.021,11.317,17.0,1.289,0.03,-11.155
BHF,Brighthouse Financial Inc,BBB+,0,0,-740000000,-6.76,398000000,-1268000000,227259000000.0,2877000000.0,14760000000.0,4391000000.0,211022000000.0,16172000000.0,4365000000.0,-1057000000,-1057000000,4234606871.0,4310606871.0,-0.047,-0.003,1828000000,-0.005,1821000000,-1052000000,0.278,-0.116,-4.078,-4.0,13.049,0.0,16.935
DY,Dycom Industries Inc,BB,1,50859000,57215000,1.82,-29562000,-74282000,2217631000.0,54560000.0,817245000.0,119612000.0,1349027000.0,868604000.0,937088000.0,129395000,346994000,1403123537.0,2452985537.0,0.067,0.025,-43530000,0.053,559952000,117806000,0.168,0.017,7.069,19.0,1.553,0.0,-1.382
ADP,Automatic Data Processing Inc,AA,0,107100000,2466500000,5.73,-250600000,257400000,39165500000.0,1908500000.0,2459900000.0,102000000.0,33413300000.0,5752200000.0,2362600000.0,3289700000,3769700000,63989106843.0,64649906843.0,0.449,0.058,2439200000,0.47,6144700000,3141700000,0.421,0.169,17.15,20.0,5.809,0.024,5.662
AZO,AutoZone Inc,BBB,0,201165000,1732972000,73.62,267842000,1574515000,14423872000.0,1750815000.0,364774000.0,5156324000.0,15301849000.0,-877977000.0,8238777000.0,2417679000,2815145000,27777101189.0,35404294189.0,-1.156,0.131,2274135000,0.167,6770753000,2417679000,0.536,0.137,12.576,15.0,-17.429,0.0,96.607
AVY,Avery Dennison Corp,BBB,0,75800000,303600000,3.61,-23900000,21700000,5488800000.0,253700000.0,1212200000.0,1066100000.0,4284800000.0,1204000000.0,1939500000.0,322700000,501700000,10989815879.0,12763515879.0,0.281,0.056,497100000,0.083,1904100000,823700000,0.269,0.043,25.441,40.0,3.559,0.017,5.918
FCF,First Commonwealth Financial Corp,BBB-,0,0,105333000,1.07,-471006000,22909000,8308773000.0,121856000.0,0.0,0.0,7253108000.0,1055665000.0,436035000.0,130849000,141219000,1426568541.0,1616058541.0,0.102,0.013,90252000,0.016,340814000,130849000,1.0,0.309,11.444,12.0,6.871,0.028,0.918
PRSC,Providence Service Corp/The,B+,1,850000,966000,-0.26,0,49306000,597381000.0,61518000.0,183812000.0,9805000.0,202669000.0,317592000.0,21585000.0,1243000,18059000,763388741.0,743876741.0,-0.011,-0.006,50082000,0.005,108792000,24732000,0.072,-0.002,41.191,598.0,0.638,0.0,3.865
HPP,Hudson Pacific Properties Inc,BBB-,0,105845000,44029000,0.28,201885000,-9933000,7466568000.0,58258000.0,208335000.0,0.0,3622131000.0,3416793000.0,3291777000.0,149874000,431962000,5834239708.0,8968893708.0,0.012,0.006,29584000,0.014,516660000,162625000,0.631,0.052,20.763,60.0,1.06,0.027,0.192
GATX,GATX Corp,BBB,0,186600000,211200000,5.92,227100000,44300000,8285100000.0,151000000.0,157900000.0,119400000.0,6450000000.0,1835100000.0,5225600000.0,446200000,789700000,2908035000.0,7991935000.0,0.116,0.026,-280100000,0.034,828100000,307600000,0.594,0.152,10.12,18.0,3.515,0.022,-7.846
BLL,Ball Corp,BB+,1,324000000,566000000,1.71,1112000000,1078000000,17360000000.0,1798000000.0,1631000000.0,3136000000.0,14341000000.0,2949000000.0,7817000000.0,961000000,1639000000,21155466446.0,27656466446.0,0.17,0.033,950000000,0.077,2271000000,932000000,0.198,0.049,16.874,29.0,4.863,0.009,2.869
AJRD,Aerojet Rocketdyne Holdings Inc,BB-,1,35700000,141000000,1.79,-20800000,195300000,2707800000.0,935600000.0,112500000.0,127300000.0,2131100000.0,576700000.0,676100000.0,227600000,302100000,3593072565.0,3472272565.0,0.265,0.054,218300000,0.16,367900000,240300000,0.186,0.071,11.494,15.0,3.695,0.0,2.828
KEYS,Keysight Technologies Inc,BBB,0,80000000,621000000,3.31,-4000000,683000000,6623000000.0,1598000000.0,668000000.0,253000000.0,3619000000.0,3004000000.0,1788000000.0,795000000,1103000000,18928491237.0,19326491237.0,0.218,0.099,878000000,0.217,2534000000,711000000,0.589,0.144,17.522,24.0,1.205,0.0,4.67
BK,Bank of New York Mellon Corp/The,A,0,0,4441000000,4.53,-6691000000,-991000000,381508000000.0,95042000000.0,0.0,18758000000.0,339780000000.0,41483000000.0,43460000000.0,5561000000,6876000000,46414269479.0,-5505730521.0,0.103,0.012,-1114000000,0.018,16462000000,6012000000,1.0,0.26,-0.801,-1.0,8.191,0.023,-1.186
AVNS,Avanos Medical Inc,BB-,1,15000000,-45900000,-0.96,-200000,-179200000,1799600000.0,205300000.0,163800000.0,83000000.0,534400000.0,1265200000.0,325400000.0,-49000000,-12100000,1615202986.0,1725702986.0,-0.036,-0.025,-125100000,-0.071,402200000,-34600000,0.577,-0.066,-142.62,-35.0,0.422,0.0,-2.61
AVNT,Avient Corp,BB,1,59500000,588600000,7.62,-128800000,693800000,3273300000.0,864700000.0,330000000.0,287700000.0,2220600000.0,1051900000.0,1293100000.0,681800000,769300000,2829706492.0,4120006492.0,0.846,0.194,219100000,0.29,657200000,156800000,0.23,0.206,5.356,6.0,2.111,0.021,2.838
MTX,Minerals Technologies Inc,BB,1,43200000,132700000,3.79,-92200000,32800000,3112600000.0,241600000.0,376200000.0,163400000.0,1678000000.0,1402700000.0,927600000.0,198700000,297100000,2008693304.0,2745193304.0,0.095,0.042,173300000,0.081,440600000,208700000,0.246,0.074,9.24,14.0,1.196,0.003,4.951
BAX,Baxter International Inc,A-,0,71000000,1001000000,1.97,1883000000,1497000000,18193000000.0,3335000000.0,1896000000.0,2689000000.0,10281000000.0,7882000000.0,5860000000.0,1031000000,1820000000,42692681766.0,45418681766.0,0.129,0.058,1408000000,0.081,4761000000,1772000000,0.419,0.088,24.955,44.0,1.304,0.01,2.766
TPX,Tempur Sealy International Inc,BB,1,85700000,189500000,0.87,-115300000,19100000,3061800000.0,64900000.0,372000000.0,251700000.0,2701400000.0,360400000.0,1745400000.0,349900000,439600000,4709098645.0,6411998645.0,0.603,0.062,-90200000,0.133,1342200000,335300000,0.432,0.061,14.586,18.0,7.496,0.0,-0.414
HE,Hawaiian Electric Industries Inc,BBB-,0,90899000,219772000,2.0,118852000,58477000,13745251000.0,227685000.0,300794000.0,245574000.0,11430698000.0,2280260000.0,2464756000.0,362308000,640421000,5106454349.0,7321112349.0,0.098,0.016,54950000,0.023,366029000,348674000,0.127,0.076,11.432,20.0,5.013,0.027,0.504
BDX,Becton Dickinson and Co,BBB,0,528000000,874000000,2.75,-1760000000,2326000000,54012000000.0,2917000000.0,2398000000.0,3993000000.0,30247000000.0,23765000000.0,17931000000.0,1513000000,3667000000,67446614447.0,83202614447.0,0.034,0.014,2729000000,0.059,7577000000,1484000000,0.443,0.045,22.69,55.0,1.273,0.014,9.415
MTH,Meritage Homes Corp,BB,1,8370000,249663000,6.55,-309296000,8000000,3398249000.0,319466000.0,88492000.0,155024000.0,1424259000.0,1973990000.0,1018981000.0,311315000,339238000,2340458673.0,3195500673.0,0.135,0.072,322894000,0.072,700194000,307373000,0.19,0.068,9.42,10.0,0.722,0.0,8.475
VREX,Varex Imaging Corp,B,1,38900000,-57900000,-1.49,93200000,70800000,1139500000.0,100600000.0,123800000.0,72900000.0,673700000.0,451700000.0,484500000.0,-34200000,5300000,483667000.0,843067000.0,-0.127,-0.052,-10300000,-0.037,190200000,-33700000,0.258,-0.078,159.069,-25.0,1.491,0.0,-0.265
HMN,Horace Mann Educators Corp,BBB,0,15577000,184443000,4.42,-194566000,13602000,12478704000.0,25508000.0,0.0,0.0,10911419000.0,1567285000.0,433025000.0,252026000,267655000,1799653717.0,2193257717.0,0.122,0.015,127573000,0.021,632631000,252026000,0.442,0.129,8.194,9.0,6.962,0.026,3.057
CHDN,Churchill Downs Inc,BB *-,1,70900000,137500000,3.43,587100000,-30800000,2551000000.0,142500000.0,37300000.0,57800000.0,2040000000.0,508300000.0,1473900000.0,265200000,366200000,5464931741.0,6705331741.0,0.266,0.054,126300000,0.094,343000000,215700000,0.258,0.103,18.311,25.0,4.013,0.004,3.15
BBY,Best Buy Co Inc,BBB,0,64000000,1541000000,5.82,-15000000,171000000,15591000000.0,2229000000.0,1149000000.0,5288000000.0,12112000000.0,3479000000.0,4069000000.0,2057000000,2869000000,21915861986.0,24807861986.0,0.465,0.099,1822000000,0.23,10048000000,2009000000,0.23,0.035,8.647,12.0,3.481,0.024,6.878
HUBB,Hubbell Inc,BBB+,0,69400000,400900000,7.35,-225100000,-7000000,4903000000.0,182000000.0,683000000.0,347700000.0,2942500000.0,1947100000.0,1571400000.0,583400000,734400000,8039279392.0,9489279392.0,0.214,0.08,497700000,0.19,1352700000,596600000,0.295,0.087,12.921,16.0,1.511,0.023,9.151
